ID,遺跡群名,遺跡名,地点・地区名,"文化層・
石器文化",緯度,経度,標高,ナイフ形石器,台形（様）石器,斧形石器,剥片尖頭器,角錐状石器・三稜尖頭器,槍先形尖頭器,両面調整石器,細石刃・細石核等,神子柴型石斧,有茎（舌）尖頭器,掻器・削器,彫器,砥石,叩石,台石,礫器
110001,,A-61号遺跡,,,35.90388889,139.6608333,12,,,,,,TRUE,,,,,,,,,,
110002,,A-61号遺跡,第２次調査,Ⅶ下部,35.90388889,139.6608333,12,,,,,,,,,,,,,,,,
110003,,A-69号遺跡,,,35.91416667,139.6475,15,TRUE,,,,,,,,,,,,,,,
110004,,会ノ谷遺跡,第３次,,35.87416667,139.6966667,14,TRUE,,,,,,,,,,,,,,,
110005,,会ノ谷遺跡,第４次,,35.87416667,139.6966667,14,,,,,,,,,,TRUE,,,,,,
110006,,会ノ谷遺跡,,ローム層中,35.87416667,139.6966667,11,,,,,,,TRUE,,,,,,,,,
110007,,相野谷１号遺跡,,Ⅴ,35.87694444,139.6144444,12,,,,,,,,,,,TRUE,,,,,
110008,,B-13号遺跡,,,35.91944444,139.6369444,13,,,,,,TRUE,,,,,,,,,,
110009,,B-22号（土呂陣屋跡）遺跡,J地点,,35.93055556,139.6375,12,TRUE,,,,,,,,,,TRUE,,,,,
110010,,B-53号遺跡,,Ⅳ～Ⅶ,35.93388889,139.6022222,14,TRUE,,,,,,,,,,TRUE,,,,,
110011,,B-53号遺跡,,Ⅲ,35.93388889,139.6022222,14,,,,,,TRUE,,,,,,,,,,
110012,,C-66号遺跡,,Ⅴ,35.91833333,139.5911111,10,,,,,,,,,,,TRUE,,,,,
110013,,梅所遺跡,,Ⅳ～Ⅴ,35.87722222,139.6966667,14,TRUE,,,,,,,,,,,,,,,
110014,,梅所南遺跡,,Ⅲ下部,35.87361111,139.7002778,14,TRUE,,,,,,,,,,,,,,,
110015,,馬場東遺跡,第５区,Ⅲ下層～Ⅳ,35.88972222,139.6883333,16,,,,,,,,,,,,,,,,
110016,,馬場東遺跡,第12区,Ⅳ,35.88972222,139.6883333,14,,,,,,,,,,,,,,,,
110017,,馬場北遺跡,,Ⅳ～Ⅴ,35.88861111,139.6841667,15,,,,,,,,TRUE,,,TRUE,,,,,
110018,,馬場北遺跡,J地点,Ⅳ～Ⅴ,35.88861111,139.6841667,16,,,,,,,,,,,TRUE,,,,,
110019,,馬場北遺跡,第7区,Ⅳ,35.88861111,139.6841667,16,,,,,,,,,,,,,,,,
110020,,馬場北遺跡,,Ⅲ下層～Ⅳ,35.88861111,139.6841667,16,,,,,TRUE,,,,,,,,,,,
110021,,馬場北遺跡,第5区,Ⅳ～Ⅴ,35.88861111,139.6841667,16,TRUE,,,,,,,,,,,,,,,
110022,,馬場北遺跡,第７次,Ⅳ下～Ⅴ上,35.88861111,139.6841667,16,TRUE,,,,,,,,,,,,,,,
110023,,馬場北遺跡,第16次　第27Ａ区,Ⅲ下部～Ⅳ上部,35.88861111,139.6841667,15,,,,,,,,,,,,,,,,
110024,,馬場北遺跡,第16次　第27Ｂ区,Ⅲ～Ⅳ,35.88861111,139.6841667,16,TRUE,,,,,,,,,,TRUE,,,,,
110025,,馬場小室山遺蹟,第105区,,35.88472222,139.6858333,15,,,,,,,,,,TRUE,,,,,,
110026,,馬場小室山遺蹟,第29次,Ⅲ～Ⅳ,35.88472222,139.6858333,15,,,,,,TRUE,,,,,,,,,,
110027,,別所子野上遺跡,第５次,Ⅲ～Ⅴ,35.85555556,139.6427778,15,,,,,,,,,,,,,,,,
110028,,別所西野台遺跡,,Ⅲ上面,35.85083333,139.6430556,15,TRUE,,,,,,,,,,,,,,,
110029,,C-23号遺跡,,,35.93638889,139.5822222,18,TRUE,,,,,,,,,,,,,,,
110030,,C-26号遺跡,,Ⅲ～Ⅳ,35.92888889,139.5575,16,TRUE,,,,,,,,,,TRUE,,,,,
110031,,C-66号遺跡,,Ⅲ～Ⅳ上面,35.91833333,139.5911111,11,TRUE,,,,,,,,,,,,,,,
110032,,台耕地南遺跡,,ローム層最上層,35.88972222,139.605,9,TRUE,,,,,,,,,,,,,,,
110033,,海老沼南遺跡,,,35.90777778,139.6422222,16,,,,,,TRUE,,,,,,,,,,
110034,,えんぎ山遺跡,,,35.88888889,139.7113889,10,,,,,,,,,,TRUE,,,,,,
110035,,不動谷遺跡,第３次,,35.87638889,139.6836111,13,TRUE,,,,,,,,,,,,,,,
110036,,不動谷遺跡,第４次,Ⅲ～Ⅳ,35.87361111,139.6780556,13,TRUE,,,,TRUE,,,,,,TRUE,,,,,
110037,,不動谷遺跡,第４次,Ⅲ,35.87361111,139.6780556,13,TRUE,,,,,TRUE,,,,,TRUE,,,,,
110038,,不動谷遺跡,第７次,Ⅲ～Ⅵ,35.87416667,139.68,14,,,,,,,,,,,,,,,,
110039,,深作原遺跡,第２次調査,Ⅲ～Ⅴ,35.95333333,139.6577778,15,TRUE,,,,,,,,,,TRUE,,,,,
110040,,深作稲荷台遺跡,第２・３次,Ⅲ～Ⅶ,35.94722222,139.665,16,TRUE,,,,,,,,,,,,,TRUE,,
